name,province_id
KIZILIRMAK,18
BAYRAMÖREN,18
KORGUN,18
MERKEZ,22
ENEZ,22
HAVSA,22
İPSALA,22
KEŞAN,22
LALAPAŞA,22
MERİÇ,22
UZUNKÖPRÜ,22
SÜLOĞLU,22
ÇİFTELER,26
MAHMUDİYE,26
MİHALIÇÇIK,26
SARICAKAYA,26
SEYİTGAZİ,26
SİVRİHİSAR,26
ALPU,26
BEYLİKOVA,26
İNÖNÜ,26
GÜNYÜZÜ,26
HAN,26
MİHALGAZİ,26
ODUNPAZARI,26
TEPEBAŞI,26
ÇUKURCA,30
MERKEZ,30
ŞEMDİNLİ,30
YÜKSEKOVA,30
ADALAR,34
BAKIRKÖY,34
BEŞİKTAŞ,34
BEYKOZ,34
BEYOĞLU,34
ÇATALCA,34
EYÜP,34
FATİH,34
GAZİOSMANPAŞA,34
KADIKÖY,34
KARTAL,34
SARIYER,34
SİLİVRİ,34
ŞİLE,34
ŞİŞLİ,34
ÜSKÜDAR,34
ZEYTİNBURNU,34
BÜYÜKÇEKMECE,34
KAĞITHANE,34
KÜÇÜKÇEKMECE,34
PENDİK,34
ÜMRANİYE,34
BAYRAMPAŞA,34
AVCILAR,34
BAĞCILAR,34
BAHÇELİEVLER,34
GÜNGÖREN,34
MALTEPE,34
SULTANBEYLİ,34
TUZLA,34
ESENLER,34
ARNAVUTKÖY,34
ATAŞEHİR,34
BAŞAKŞEHİR,34
BEYLİKDÜZÜ,34
ÇEKMEKÖY,34
ESENYURT,34
SANCAKTEPE,34
SULTANGAZİ,34
BÜNYAN,38
DEVELİ,38
FELAHİYE,38
İNCESU,38
PINARBAŞI,38
SARIOĞLAN,38
SARIZ,38
TOMARZA,38
YAHYALI,38
YEŞİLHİSAR,38
AKKIŞLA,38
TALAS,38
KOCASİNAN,38
MELİKGAZİ,38
HACILAR,38
ÖZVATAN,38
AKŞEHİR,42
BEYŞEHİR,42
BOZKIR,42
CİHANBEYLİ,42
ÇUMRA,42
DOĞANHİSAR,42
EREĞLİ,42
HADİM,42
